rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
315629;3512.165961;36;368;32.2601;5.65685;0;68;-1;-1;0;1;1;1;1.14386;-0.987016;-0.861297;1.14386;-0.987016;-0.861297;0;0;0;0;0;0;0;0;0.008324;fp_not_a_fp;-1;0.206967;
315630;3512.177089;44;366;32.1101;6.32456;0.0946887;42;36;368;0;2;1;1;1.12563;-0.986388;-0.868616;1.13475;-0.986702;-0.864957;1;-0.20903;0.00719958;-0.0838903;0;0;0;0;0.00935005;fp_not_a_fp;-1;0.207068;
315631;3512.188216;48;364;31.7336;6.32456;0.0542522;283;45.0134;365.747;0;3;1;1;1.12709;-0.992906;-0.882179;1.13219;-0.98877;-0.870697;1;-0.25204;-0.0654552;-0.263335;0;-3.86539;-6.52959;-16.127;0.00946092;fp_not_a_fp;-1;0.207111;
315632;3512.199342;56;364;31.549;4.47214;0.113258;72;49.7851;363.429;0;4;1;1;1.10961;-0.998475;-0.887489;1.12655;-0.991196;-0.874895;1;-0.438051;-0.15097;-0.364775;0;-10.2914;-7.10757;-12.6219;0.00672899;fp_not_a_fp;-1;0.207177;
315633;3512.210470;64;362;31.014;5.65685;0.126539;124;58.8584;363.373;0;5;1;1;1.10433;-1.01027;-0.906209;1.11666;-0.997011;-0.886124;1;-0.519498;-0.302294;-0.574746;0;-9.30067;-9.27122;-14.7042;0.00865847;fp_not_a_fp;-1;0.207033;
315634;3512.221597;66;362;30.8478;6.32456;0.0482027;386;67.8631;361.197;0;6;1;1;1.10413;-1.01566;-0.911131;1.11129;-1.00433;-0.896752;1;-0.489237;-0.387976;-0.644625;0;-6.29561;-8.8785;-12.5982;0.00973268;fp_not_a_fp;-1;0.207088;
315635;3512.232724;72;362;30.5798;6.32456;0.0483461;75;70.0356;361.224;0;7;1;1;1.09517;-1.02437;-0.91923;1.10331;-1.01219;-0.906015;1;-0.51696;-0.473796;-0.684129;1;-5.95216;-9.17439;-9.45403;0.00981786;fp_not_a_fp;-1;0.207103;
315636;3512.243852;80;360;30.4206;4.47214;0.0957393;155;76.616;361.323;0;8;1;1;1.07601;-1.0242;-0.927516;1.09491;-1.01862;-0.916022;1;-0.682114;-0.446857;-0.708173;1;-5.48315;-6.64779;-7.715;0.00697863;fp_not_a_fp;-1;0.206943;
315637;3512.254979;84;358;30.1727;4.47214;0.0537542;358;85.0812;359.208;0;9;1;1;1.07234;-1.02716;-0.938565;1.08691;-1.02285;-0.924111;1;-0.705428;-0.412696;-0.75443;1;-4.17715;-2.48062;-4.03709;0.00703592;fp_not_a_fp;-1;0.207091;
315638;3512.266106;88;358;29.8817;8.24621;0.0511096;110;89.0457;357.02;0;10;1;1;1.07008;-1.03704;-0.947784;1.0784;-1.02819;-0.933274;1;-0.651046;-0.459164;-0.783006;1;-3.63519;-1.5996;-3.10912;0.0131;fp_not_a_fp;-1;0.207084;
