rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
127233;1415.772328;240;120;13.3491;4.47214;0;16;-1;-1;0;1;1;1;1.33442;-0.876488;-3.02899;1.33442;-0.876488;-3.02899;0;0;0;0;0;0;0;0;0.0159033;fp_not_a_fp;-1;0.207155;
127234;1415.783456;240;120;13.3491;4.47214;0;16;240;120;1;0;1;1;1.33442;-0.876488;-3.02899;1.33442;-0.876488;-3.02899;1;0;0;0;0;0;0;0;-1;fp_not_a_fp;-1;0.207204;
127235;1415.794584;240;120;13.6806;2;0.05;6;240;120;0;1;1;1;1.30208;-0.855249;-2.95559;1.32364;-0.869409;-3.00453;1;-0.370639;0.243448;0.841312;0;-33.3063;21.8767;75.6019;0.00693985;fp_not_a_fp;-1;0.207309;
127236;1415.805711;240;120;13.4835;2;0.025;17;240;120;0;2;1;1;1.32112;-0.86775;-2.99879;1.32301;-0.868994;-3.00309;1;-0.258374;0.169709;0.586484;0;-11.6085;7.6249;26.3503;0.00704124;fp_not_a_fp;-1;0.207372;
127237;1415.816838;240;120;13.4835;2;0.025;17;240;120;1;0;1;1;1.31825;-0.865864;-2.99228;1.31897;-0.866338;-2.99391;1;-0.21193;0.139203;0.481064;0;-6.34775;4.16942;14.4088;-1;fp_not_a_fp;-1;0.207316;
127238;1415.827967;240;118;13.4162;2;0.146775;19;240;120;0;1;1;1;1.32792;-0.860119;-3.02137;1.31734;-0.862245;-2.99201;1;-0.054855;0.174692;0.0426861;0;-1.23211;3.92432;0.95848;0.00707665;fp_not_a_fp;-1;0.207394;
127239;1415.839094;240;118;13.4162;2;0.146775;19;240;117.744;1;0;1;1;1.32731;-0.858178;-3.0209;1.32365;-0.862977;-3.00833;1;0.0100688;0.189326;-0.138486;1;8.55313;-1.21606;-22.0125;-1;fp_not_a_fp;-1;0.207156;
127240;1415.850221;240;116;13.4584;2.82843;0.0722178;13;240;117.34;0;1;1;1;1.32392;-0.845473;-3.0194;1.32435;-0.857408;-3.01348;1;-0.00319364;0.316857;-0.17851;1;5.73286;3.30588;-17.1864;0.00997644;fp_not_a_fp;-1;0.207229;
127241;1415.861350;240;116;13.4886;2;0.025;31;240;115.349;0;2;1;1;1.32096;-0.843578;-3.01263;1.32503;-0.851837;-3.01857;1;-0.0422762;0.350863;-0.0947202;1;3.81139;4.75524;-12.9355;0.00703862;fp_not_a_fp;-1;0.207253;
127242;1415.872477;240;116;13.337;2;0.025;10;240;115.328;0;3;1;1;1.33598;-0.85317;-3.04689;1.32704;-0.8501;-3.02495;1;0.119148;0.210206;-0.4407;1;3.90954;0.797726;-10.8607;0.00711867;fp_not_a_fp;-1;0.207242;
127243;1415.883604;240;114;13.4721;2.82843;0.0536797;24;240;115.444;0;4;1;1;1.32274;-0.832675;-3.02381;1.3259;-0.843724;-3.02568;1;0.0189688;0.360199;-0.262994;1;0.200167;3.8388;-2.79775;0.00996631;fp_not_a_fp;-1;0.207262;
127244;1415.894732;240;114;13.4991;2.82843;0.00367966;26;240;113.273;0;5;1;1;1.32009;-0.831008;-3.01776;1.32494;-0.840108;-3.02527;1;-0.0552065;0.39535;-0.0866161;1;-1.16825;1.76327;2.06386;0.00994634;fp_not_a_fp;-1;0.207258;
127245;1415.905860;240;112;13.3183;2.82843;0.0680186;8;240;113.322;0;6;1;1;1.33818;-0.830213;-3.0663;1.32925;-0.836766;-3.03869;1;0.128538;0.368555;-0.559109;1;3.83792;0.397298;-10.434;0.0100814;fp_not_a_fp;-1;0.207119;
127246;1415.916987;240;112;13.5123;2.82843;0.00367966;25;240;111.155;0;7;1;1;1.31898;-0.818298;-3.02229;1.325;-0.828048;-3.03254;1;-0.0320792;0.44706;-0.178588;1;-3.39757;5.32136;5.88876;0.00993663;fp_not_a_fp;-1;0.20721;
127247;1415.928115;240;112;13.5123;2.82843;0.00367966;25;240;111.176;1;0;1;1;1.31841;-0.813002;-3.02391;1.32392;-0.82313;-3.03257;1;-0.100854;0.483181;-0.0171303;1;-2.69188;2.76294;5.52341;-1;fp_not_a_fp;-1;0.207177;
