 
# QPROP Version 1.22
# 
# MyProp_v1                                                                       
# 
# Speed-400                                                                       
#   0.14100                                     
#   0.62000                                     
#    2800.0                                     
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    0.000  0.1927E+05  0.000  0.8558      0.2492E-01   50.29       8.000    7.9268   0.7930   0.0000   0.00000  0.2914E-01  0.1928E-01  15.1568   0.0000   63.41       0.000       0.6976  0.4807    
    0.000  0.2128E+05  0.000   1.065      0.2692E-01   59.99       8.800    8.5134   0.8007   0.0000   0.00000  0.2974E-01  0.1708E-01  16.9091   0.0000   74.92       0.000       0.6992  0.4143    
    0.000  0.2328E+05  0.000   1.296      0.2897E-01   70.63       9.600    9.1140   0.8072   0.0000   0.00000  0.3024E-01  0.1536E-01  18.6554   0.0000   87.49       0.000       0.7010  0.3620    
    0.000  0.2528E+05  0.000   1.550      0.3107E-01   82.25      10.400    9.7308   0.8128   0.0000   0.00000  0.3067E-01  0.1397E-01  20.3974   0.0000   101.2       0.000       0.7030  0.3200    
    0.000  0.2727E+05  0.000   1.825      0.3324E-01   94.91      11.200   10.3655   0.8175   0.0000   0.00000  0.3104E-01  0.1285E-01  22.1365   0.0000   116.1       0.000       0.7052  0.2857    
    0.000  0.2925E+05  0.000   2.123      0.3547E-01   108.6      12.000   11.0197   0.8215   0.0000   0.00000  0.3138E-01  0.1191E-01  23.8736   0.0000   132.2       0.000       0.7076  0.2572    
    0.000  0.3122E+05  0.000   2.443      0.3777E-01   123.5      12.800   11.6950   0.8250   0.0000   0.00000  0.3169E-01  0.1113E-01  25.6098   0.0000   149.7       0.000       0.7101  0.2332    
    0.000  0.3319E+05  0.000   2.786      0.4015E-01   139.5      13.600   12.3927   0.8279   0.0000   0.00000  0.3198E-01  0.1048E-01  27.3457   0.0000   168.5       0.000       0.7129  0.2129    
    0.000  0.3514E+05  0.000   3.151      0.4261E-01   156.8      14.400   13.1142   0.8304   0.0000   0.00000  0.3226E-01  0.9915E-02  29.0822   0.0000   188.8       0.000       0.7159  0.1954    
    0.000  0.3709E+05  0.000   3.539      0.4516E-01   175.4      15.200   13.8609   0.8324   0.0000   0.00000  0.3253E-01  0.9434E-02  30.8199   0.0000   210.7       0.000       0.7192  0.1803    
    0.000  0.3902E+05  0.000   3.949      0.4779E-01   195.3      16.000   14.6341   0.8341   0.0000   0.00000  0.3279E-01  0.9019E-02  32.5596   0.0000   234.1       0.000       0.7226  0.1671    
